artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,World/Traditional, blues, classical,R&B,metal,hip hop, latin, hip hop,country, jazz, R&B, pop,rock,pop,latin, Dance/Electronic, Folk/Acoustic,Dance/Electronic, easy listening,set(), country,easy listening, metal,Folk/Acoustic, rock,cat,cluster
blink-182,All The Small Things,0.14567313132837212,0.0,1999,0.8876404494382022,0.3605200945626478,0.8919605973943439,0.0,0.7706295088447476,1.0,0.0463096960926194,0.010533813779943212,0.0,0.7101623571858088,0.6908760295218741,0.5881179060146388,"rock, pop",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,7
Eminem,The Real Slim Shady,0.4612739999892226,1.0,2000,0.9662921348314607,0.9692671394799054,0.6419870776400806,0.45454545454545453,0.803933194979741,0.0,0.06150506512301014,0.030923559151983318,0.0,0.028743235117257973,0.7721681463258103,0.29493078391853195,hip hop,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,4
Modjo,Lady - Hear Me Tonight,0.5231175871489926,0.0,2001,0.8651685393258427,0.6985815602836879,0.7976909225717616,0.5454545454545454,0.7355964028066014,1.0,0.0265918958031838,0.008105487321062053,0.029746192893401014,0.050390859891761876,0.8887581559525083,0.4377187864644107,Dance/Electronic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1111111111111111,2
Linkin Park,In the End,0.27988985466635774,0.0,2000,0.9325842696629213,0.504728132387707,0.8570066730219257,0.2727272727272727,0.7235892874789999,0.0,0.06367583212735167,0.009796094349397037,0.0,0.22549609140108237,0.38710022462295435,0.29916728545666704,"rock, metal",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,7
DMX,Party Up,0.4199587224434589,1.0,1999,0.797752808988764,0.45035460992907805,0.9279737315962293,1.0,0.8504792963731594,1.0,0.5857452966714906,0.07559656911283502,0.0,0.5754660252555622,0.526152529682319,0.9408945051447969,"hip hop, pop",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4
Mýa,Case Of The Ex (Whatcha Gonna Do),0.33384705749219984,0.0,2000,0.6629213483146067,0.7600472813238771,0.6705857430356953,0.09090909090909091,0.7806601442830319,0.0,0.03129522431259046,0.056128973028977625,9.939086294416243e-05,0.061334936861094404,0.33147930259920844,0.2518099607510343,"pop, R&B",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,1
Mary Mary,Shackles (Praise You),0.22995263319556186,0.0,2000,0.7191011235955056,0.7683215130023641,0.8252303781379091,0.6363636363636364,0.8766182429093784,1.0,0.2510853835021708,0.0351244614648157,0.0,0.08069753457606733,0.814953470959461,0.2681194971889254,R&B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,1
Jagged Edge,He Can't Love U,0.35310363037726394,0.0,2000,0.6179775280898876,0.6997635933806147,0.8273487977968436,0.7272727272727273,0.8173732582270975,0.0,0.3306801736613604,0.11473668334459039,0.0,0.25676488274203246,0.5026206011338111,0.43929670096531237,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,4
Craig David,Fill Me In,0.3885263481217634,0.0,2000,0.6741573033707865,0.6536643026004729,0.7299014934858595,0.7272727272727273,0.6686925585532167,1.0,0.02405933429811867,0.3852338078781878,0.00965482233502538,0.046301864101022244,0.8438335650871751,0.4804948552031399,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4
Red Hot Chili Peppers,Otherside,0.38360375701206534,0.0,1999,0.8764044943820225,0.3888888888888889,0.7839211947886877,0.0,0.8523075402707777,1.0,0.06186685962373373,0.0032180960936936463,0.00020507614213197972,0.0650631389055923,0.5079687667130175,0.41907552773947176,rock,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,7
Fuel,Hemorrhage (In My Hands),0.33373928319313695,0.0,2000,0.550561797752809,0.21749408983451538,0.8220527486495074,0.09090909090909091,0.8212273940112659,1.0,0.031114327062228657,0.00011045299251788559,0.0003461928934010152,0.2627781118460613,0.3143651727457482,0.6100495915985997,"rock, pop, metal",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.3333333333333333,7
Destiny's Child,"Independent Women, Pt. 1",0.2913489570142208,0.0,2001,0.7303370786516854,0.710401891252955,0.5794936977015147,0.5454545454545454,0.8267615377013539,0.0,0.3306801736613604,0.3708892633953455,3.7461928934010152e-06,0.1773902585688515,0.9507968766713019,0.2515049856794314,"pop, R&B",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,1
Gabrielle,Rise,0.2858524677620128,0.0,2001,0.6741573033707865,0.5070921985815604,0.45132930833598134,0.7272727272727273,0.5448660934874987,1.0,0.005065123010130247,0.32273257834580354,8.964467005076143e-06,0.08238123872519544,0.6341854743822869,0.561246950249284,"pop, R&B",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,9
Creed,With Arms Wide Open,0.4359470397094405,0.0,1999,0.7191011235955056,0.3321513002364066,0.51276347844508,0.0,0.5979839905128965,1.0,0.012662807525325621,0.004334921342714939,0.0009035532994923857,0.11485267588695129,0.11006524762006631,0.5226543439058025,"pop, rock, metal",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1.0,7
Jimmy Eat World,The Middle,0.1424048757092896,0.0,2001,0.8764044943820225,0.607565011820331,0.8411185255799174,0.18181818181818182,0.7454293902559541,1.0,0.05318379160636759,0.037993370361384164,0.0,0.043896572459410706,0.9251256818911114,0.6771308475655032,"rock, pop",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,7
Missy Elliott,One Minute Man (feat. Ludacris),0.37717232571548664,1.0,2001,0.6404494382022472,0.58274231678487,0.6504607562758183,0.8181818181818182,0.597638106532266,1.0,0.5531837916063677,0.027234961999252443,3.015228426395939e-06,0.15694527961515334,0.5689378543159695,0.22422297655669884,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,4
iio,Rapture (feat.Nadia Ali),0.37878894020143017,0.0,2006,0.6067415730337079,0.6288416075650118,0.8474737845567206,0.7272727272727273,0.5984286984879928,1.0,0.0262301013024602,0.07395719260051017,0.01878172588832487,0.21346963319302467,0.6020964809070488,0.42380927124217677,Dance/Electronic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3333333333333333,2
P.O.D.,Youth of the Nation,0.38593976494425375,0.0,2001,0.7752808988764045,0.5130023640661938,0.8527698337040568,0.7272727272727273,0.6414171360806403,1.0,0.07036903039073808,0.008525577552345292,0.010761421319796955,0.4431749849669272,0.5122472991763826,0.25092818500053043,"rock, metal",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0,7
Gorillaz,Clint Eastwood,0.6140979560604183,1.0,2001,0.8314606741573034,0.6312056737588653,0.6769410020124986,0.9090909090909091,0.5873604111078169,0.0,0.2673661360347323,0.025902968582988517,0.0,0.058087793144918826,0.5208043641031127,0.7155908560517662,hip hop,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5555555555555556,4
Jennifer Lopez,Love Don't Cost a Thing,0.29159953225954205,0.0,2001,0.7528089887640449,0.7765957446808511,0.8337040567736468,0.36363636363636365,0.7608953453898606,0.0,0.0859261939218524,0.0031053889584713146,3.5939086294416242e-06,0.5429945880938063,0.6919456626377153,0.2490055160708603,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,4
Erick Sermon,Music (feat. Marvin Gaye),0.29673767196736595,1.0,2001,0.6404494382022472,0.9078014184397164,0.4354411608939731,0.9090909090909091,0.5663109002865895,0.0,0.32525325615050654,0.1915824573598169,1.3705583756345178e-06,0.06518340348767289,0.9048026526901273,0.26513604540150637,"hip hop, pop",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,4
Craig David,Fill Me In,0.3885263481217634,0.0,2000,0.6741573033707865,0.6536643026004729,0.7299014934858595,0.7272727272727273,0.6686925585532167,1.0,0.02405933429811867,0.3852338078781878,0.00965482233502538,0.046301864101022244,0.8438335650871751,0.4804948552031399,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4
Destiny's Child,"Independent Women, Pt. 1",0.2913489570142208,0.0,2001,0.7303370786516854,0.710401891252955,0.5794936977015147,0.5454545454545454,0.8267615377013539,0.0,0.3306801736613604,0.3708892633953455,3.7461928934010152e-06,0.1773902585688515,0.9507968766713019,0.2515049856794314,"pop, R&B",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,1
Gabrielle,Rise,0.2858524677620128,0.0,2001,0.6741573033707865,0.5070921985815604,0.45132930833598134,0.7272727272727273,0.5448660934874987,1.0,0.005065123010130247,0.32273257834580354,8.964467005076143e-06,0.08238123872519544,0.6341854743822869,0.561246950249284,"pop, R&B",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,9
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),0.5693339009446418,1.0,2002,0.7640449438202247,0.6134751773049646,0.7457896409278678,0.5454545454545454,0.800424943176203,1.0,0.5115774240231549,0.014529794028734992,0.0,0.7534576067348167,0.5133169322922237,0.1722247268484141,"hip hop, pop",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5555555555555556,4
Linkin Park,In the End,0.27988985466635774,0.0,2000,0.9325842696629213,0.504728132387707,0.8570066730219257,0.2727272727272727,0.7235892874789999,0.0,0.06367583212735167,0.009796094349397037,0.0,0.22549609140108237,0.38710022462295435,0.29916728545666704,"rock, metal",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,7
Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,0.33841129905751377,1.0,2001,0.6179775280898876,0.6713947990543735,0.7818027751297533,0.5454545454545454,0.7814507362387587,0.0,0.54232995658466,0.08645743850698703,0.0,0.04858689116055322,0.558241523157557,0.1972260528269863,"hip hop, pop",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,4
Disturbing Tha Peace,Move Bitch,0.42919228551567307,1.0,2002,0.6629213483146067,0.7659574468085106,0.73731596229213,0.09090909090909091,0.7323846229864611,1.0,0.1986251808972504,0.2510098559315921,0.0,0.09440769693325317,0.16354690341212966,0.781498620982285,"hip hop, pop",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4
B2K,Uh Huh,0.29716876916361756,0.0,2002,0.550561797752809,0.8581560283687943,0.6631712742294249,0.18181818181818182,0.7688012649471292,1.0,0.08248914616497831,0.0902484966917382,3.756345177664975e-06,0.04533974744437764,0.9304738474703177,0.26307414872175666,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,4
Gareth Gates,Unchained Melody,0.3251173392681047,0.0,2003,0.39325842696629215,0.28250591016548465,0.3930727677152844,0.9090909090909091,0.6159205455084494,1.0,0.008140376266280754,0.2612559591336223,5.472081218274112e-06,0.10402886349969932,0.18173066638143118,0.3082966479261695,pop,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,9
Sophie Ellis-Bextor,Murder On The Dancefloor,0.31527485140618516,0.0,2002,0.6966292134831461,0.7151300236406619,0.8400593157504501,0.09090909090909091,0.7524953058602628,0.0,0.013929088277858182,0.0031771116808855257,1.1776649746192895e-05,0.3505712567648827,0.8823403572574607,0.379833191895619,"pop, Dance/Electronic",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.8888888888888888,1
Justin Timberlake,Like I Love You,0.4597274387976699,0.0,2002,0.6966292134831461,0.8557919621749409,0.8008685520601632,0.5454545454545454,0.7701848008696511,0.0,0.07489146164978294,0.0449607205387647,0.0003116751269035533,0.05868911605532171,0.9219167825435876,0.364279463243874,pop,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,1
A1,Caught in the Middle,0.2518308159053311,0.0,2001,0.5955056179775281,0.4609929078014185,0.8675987713165978,0.45454545454545453,0.7605494614092302,1.0,0.019536903039073815,0.053669908260490375,0.0,0.26638604930847865,0.5710771205476521,0.23902752731515864,pop,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1
Missy Elliott,Work It,0.40476254627558966,1.0,2002,0.7865168539325843,0.892434988179669,0.658934434911556,0.09090909090909091,0.7367822907401917,1.0,0.4699710564399421,0.07969501039364708,0.0,0.06217678893565845,0.5839127179377473,0.2774543863371168,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4
Outkast,The Whole World (feat. Killer Mike),0.49130530842310033,1.0,2001,0.5730337078651685,0.8096926713947991,0.844296155068319,0.18181818181818182,0.7084692163257239,1.0,0.6834298118668597,0.09813799615730145,1.3401015228426397e-06,0.00877931449188214,0.7261739223446357,0.826502333722287,"hip hop, pop",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,4
Beyoncé,Crazy In Love (feat. Jay-Z),0.33176431916280924,0.0,2003,0.8539325842696629,0.6111111111111112,0.7574409490520072,0.18181818181818182,0.687716177487894,0.0,0.3668596237337193,0.0025316071791576227,0.0,0.06013229104028863,0.6876671301743502,0.2595337859340194,"pop, R&B",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,1
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),0.5693339009446418,1.0,2002,0.7640449438202247,0.6134751773049646,0.7457896409278678,0.5454545454545454,0.800424943176203,1.0,0.5115774240231549,0.014529794028734992,0.0,0.7534576067348167,0.5133169322922237,0.1722247268484141,"hip hop, pop",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5555555555555556,4
Lil' Kim,Magic Stick,0.6654335490615553,1.0,2019,0.5280898876404494,0.851063829787234,0.469335875436924,0.18181818181818182,0.6246664690186777,1.0,0.4500723589001448,0.11883512462540248,4.5583756345177664e-05,0.296452194828623,0.4962028024387635,0.21852789858915886,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5555555555555556,4
Sugababes,Too Lost In You,0.33596751682626247,0.0,2003,0.651685393258427,0.5401891252955082,0.688592310136638,0.09090909090909091,0.7713212768060085,0.0,0.0099493487698987,0.0496739280116986,0.0,0.1545399879735418,0.45020857845758905,0.2519027792510873,"pop, R&B",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,1
50 Cent,21 Questions,0.30025919718924626,1.0,2003,0.8089887640449438,0.6111111111111112,0.8029869717190975,0.5454545454545454,0.8235991698784465,0.0,0.49891461649782926,0.3575693292327062,9.512690355329949e-05,0.025496091401082385,0.9165686169643813,0.21686379548106505,"hip hop, pop",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,4
Floetry,Say Yes,0.41863040420750863,0.0,2002,0.6404494382022472,0.7304964539007093,0.3634148924902023,0.45454545454545453,0.37464176302006125,0.0,0.092438494934877,0.2161731050446894,1.4416243654822335e-06,0.1100420926037282,0.4170499518665098,0.3837514585764294,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4
Missy Elliott,Work It,0.40476254627558966,1.0,2002,0.7865168539325843,0.892434988179669,0.658934434911556,0.09090909090909091,0.7367822907401917,1.0,0.4699710564399421,0.07969501039364708,0.0,0.06217678893565845,0.5839127179377473,0.2774543863371168,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4
Audioslave,Like a Stone,0.48757092896057075,0.0,2002,0.8426966292134831,0.5732860520094563,0.5434805634996293,0.6363636363636364,0.7430082023915406,0.0,0.00795947901591896,0.008146471733870174,0.0,0.09404690318701141,0.5111776660605413,0.31710777553834735,"rock, metal",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.1111111111111111,7
Chingy,Holidae In,0.542643595781714,1.0,2003,0.6853932584269663,0.8049645390070923,0.7796843554708188,0.6363636363636364,0.7216622195869158,1.0,0.28545586107091175,0.09147802907598183,0.0,0.07492483463619964,0.9732591721039683,0.6168982709239419,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5555555555555556,4
Will Young,Leave Right Now,0.27410506916415645,0.0,2003,0.6179775280898876,0.6052009456264775,0.4131977544751615,0.5454545454545454,0.5850380472378693,1.0,0.024602026049204057,0.14854882391129004,0.0,0.10402886349969932,0.36891646165365277,0.14527421236872812,pop,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,9
Britney Spears,Toxic,0.2311758714899258,0.0,2003,0.9101123595505618,0.7624113475177305,0.829467217455778,0.45454545454545453,0.8202391540666073,0.0,0.16425470332850942,0.02549312445490731,0.02538071065989848,0.2651834034876729,0.947587977323778,0.550420335207383,pop,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,1
Kelis,Trick Me,0.25086084721376495,1.0,2003,0.7078651685393258,0.9940898345153665,0.7044804575786463,0.09090909090909091,0.8482557564976776,0.0,0.2275687409551375,0.03778844829734356,0.0003949238578680203,0.3662056524353578,0.9882340357257461,0.3126060782857749,"pop, R&B, Dance/Electronic",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,1
Kelis,Milkshake,0.18759733366384118,0.0,2003,0.7640449438202247,0.888888888888889,0.7616777883698761,0.09090909090909091,0.7138057120268801,1.0,0.03744573082489147,0.010082985239053883,0.03512690355329949,0.22188815393866507,0.771098513209969,0.351046197093455,"pop, R&B, Dance/Electronic",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.6666666666666666,1
Sugababes,Too Lost In You,0.33596751682626247,0.0,2003,0.651685393258427,0.5401891252955082,0.688592310136638,0.09090909090909091,0.7713212768060085,0.0,0.0099493487698987,0.0496739280116986,0.0,0.1545399879735418,0.45020857845758905,0.2519027792510873,"pop, R&B",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,1
N.E.R.D,She Wants To Move,0.2715535126338422,0.0,2004,0.6404494382022472,0.7529550827423168,0.8432369452388518,0.45454545454545453,0.7749283526040123,1.0,0.10021707670043417,0.0040992609690682445,0.0007553299492385787,0.28202044497895373,0.814953470959461,0.36459769810119874,hip hop,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4
Franz Ferdinand,Take Me Out,0.33417038038938857,0.0,2004,0.8651685393258427,0.1749408983451537,0.644105497299015,0.36363636363636365,0.5777744836446289,0.0,0.0262301013024602,0.0003993931028151374,0.000517766497461929,0.137702946482261,0.5229436303347952,0.295308687811605,rock,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,7
JUVENILE,Slow Motion,0.3642771308326104,1.0,2003,0.7191011235955056,0.6903073286052009,0.7193093951911874,0.0,0.7718153967783378,0.0,0.5459479015918959,0.5614667829531074,0.0,0.056764882742032466,0.9112204513851749,0.7482032990346877,"hip hop, pop",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,4
Will Young,Leave Right Now,0.27410506916415645,0.0,2003,0.6179775280898876,0.6052009456264775,0.4131977544751615,0.5454545454545454,0.5850380472378693,1.0,0.024602026049204057,0.14854882391129004,0.0,0.10402886349969932,0.36891646165365277,0.14527421236872812,pop,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,9
